Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"21 HOUGANG STREET 51, SINGAPORE 538719",Retail,Small,No,1996.0,,,No,9899.0,0.24406505707647236,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,446.7916284473179,442.0962400242448,448.23521466814833,Worsened,3rd Quartile,Y,538719,1.37931783499145,103.88784708944,HOUGANG
"40A ORCHARD ROAD, SINGAPORE 238838",Office,Small,No,1999.0,,,No,9000.0,0.9111111111111111,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,50.0,N,296.1056111111111,208.45741666666666,188.28583444444445,Improved,3rd Quartile,Y,238838,1.29921942757639,103.846142503264,MUSEUM
"20 KRAMAT LANE, SINGAPORE 228773",Office,Small,No,1976.0,,,No,5099.0,0.7001372818199647,95.0,,Water Cooled Chilled Water Plant,39.0,,,0.0,N,108.40993528142774,106.97096489507746,74.82635810943322,Improved,Top Quartile,Y,228773,1.30106357567537,103.842461997492,ORCHARD
"31 ROCHESTER DRIVE, SINGAPORE 138637",Hotel,Large,No,2011.0,2009.0,Gold,Yes,18881.0,1.0,70.0,351.0,District Cooling Plant,10.1,,2017.0,40.0,N,171.01546528255918,162.3497696096605,164.21804989142524,Worsened,Not benchmarked,Y,138637,1.30499783151032,103.788718669932,QUEENSTOWN
"4190 ANG MO KIO AVENUE 6, SINGAPORE 569841",Retail,Small,No,2014.0,,,No,3840.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,30.0,N,379.66090364583334,344.57451041666667,405.3285937499999,Worsened,3rd Quartile,Y,569841,1.37193728283195,103.845949472512,ANG MO KIO
"298 JALAN BUKIT HO SWEE, SINGAPORE 169565",Office,Small,Yes,2003.0,,,No,7860.0,0.7506361323155216,100.0,,"Others (Split Units, Unitary Systems)",9.0,,,0.0,N,77.91723282442747,62.94291094147583,1.90206106870229,Improved,Top Quartile,Y,169565,1.28791981662355,103.830283766722,BUKIT MERAH
"8 LOWER DELTA ROAD, SINGAPORE 169198",Office,Small,Yes,2003.0,,,No,9507.0,0.8414852214157988,55.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,441.34462816871775,596.9862511833386,861.5647144209529,Worsened,Bottom Quartile,Y,169198,1.28897410982684,103.82523124027,BUKIT MERAH
"1 GOLDHILL PLAZA, SINGAPORE 308899",Mixed Development,Small,No,1970.0,,,No,7900.0,0.860126582278481,98.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,503.88541012658226,433.93202405063295,400.74762151898733,Improved,Bottom Quartile,Y,308899,1.31782919793186,103.842889167307,NOVENA
"18 SCIENCE PARK DRIVE, SINGAPORE 118229",Office,Large,No,1992.0,,,No,16155.0,0.7855772206747137,80.0,,Water Cooled Chilled Water Plant,5.0,0.69,2014.0,80.0,N,1095.3046889507893,1077.6934076137418,1067.920705663881,Improved,Bottom Quartile,Y,118229,1.29020797784005,103.788268018287,QUEENSTOWN
"1 MARINE PARADE CENTRAL, SINGAPORE 449408",Private School,Small,No,1998.0,,,No,9642.0,0.9546774528106202,80.0,,"Others (Split Units, Unitary Systems)",0.0,,,85.0,N,205.18543248288736,197.43821302634308,197.871663555279,Worsened,Not benchmarked,Y,449408,1.30188732078192,103.905996468402,MARINE PARADE
"587 BUKIT TIMAH ROAD, SINGAPORE 269707",Retail,Small,No,1979.0,,,No,4562.0,0.5,100.0,,Water Cooled Chilled Water Plant,34.0,,2015.0,85.0,N,702.4011486190268,697.3877882507671,695.7520429636124,Improved,Bottom Quartile,Y,269707,1.32383369976841,103.810002032513,BUKIT TIMAH
"1 VISTA EXCHANGE GREEN, SINGAPORE 138617",Retail,Large,No,2012.0,2009.0,Gold,Yes,62000.0,0.6477903225806452,90.0,,Water Cooled Chilled Water Plant,5.0,,,40.0,N,347.6527258064516,350.7705241935484,340.4047661290323,Improved,2nd Quartile,Y,138617,1.30695082420353,103.788287276561,QUEENSTOWN
"101 UPPER CROSS STREET, SINGAPORE 058357",Mixed Development,Large,No,1974.0,,,No,49701.0,1.0,95.0,,Water Cooled Chilled Water Plant,1.0,0.9,2017.0,95.0,N,236.79218084143176,224.15101406410335,209.21897225407932,Improved,2nd Quartile,Y,058357,1.28580583517057,103.844032214205,OUTRAM
"211 HOLLAND AVENUE, SINGAPORE 278967",Retail,Small,No,1972.0,,,No,7403.0,0.9725786843171688,90.0,,Water Cooled Packaged Unit,20.0,,,100.0,N,418.9660678103471,426.43273672835335,429.99411049574496,Worsened,3rd Quartile,Y,278967,1.31025542158588,103.795350441035,QUEENSTOWN
"3 TEMASEK BOULEVARD, SINGAPORE 038983",Office,Large,No,1995.0,2016.0,Gold,Yes,454084.0,0.8884064948864391,99.0,,Water Cooled Chilled Water Plant,4.0,,,40.0,N,329.1576035886581,297.6753989570212,302.59506741043515,Worsened,Bottom Quartile,Y,038983,1.2948461489492,103.857705211747,DOWNTOWN CORE
"235 CORPORATION DRIVE, SINGAPORE 619771",Nursing Home,Small,No,1973.0,,,No,2121.0,0.8500707213578501,70.0,,Air Cooled Chilled Water Plant,17.0,,,1.0,N,316.2175388967468,324.72603960396043,253.11946251768035,Improved,Not benchmarked,Y,619771,1.33093978855518,103.723072368708,JURONG WEST
"302 ORCHARD ROAD, SINGAPORE 238862",Office,Large,No,1982.0,,,No,15153.0,0.8216194812908335,70.0,,Water Cooled Chilled Water Plant,15.0,,,0.0,N,186.88661387184055,174.3171464396489,151.08404540355045,Improved,2nd Quartile,Y,238862,1.30394537388751,103.834827426749,ORCHARD
"3 SENG POH ROAD, SINGAPORE 168891",Hotel,Small,No,2000.0,,,No,2954.0,1.0,65.0,76.0,"Others (Split Units, Unitary Systems)",0.0,,,95.0,N,349.54486459038594,361.4307075152336,388.2629045362221,Worsened,Bottom Quartile,Y,168891,1.28556430191685,103.834075876607,BUKIT MERAH
"211 UPPER BUKIT TIMAH ROAD, SINGAPORE 588182",Office,Small,No,1990.0,,,No,1968.0,0.9588414634146342,69.0,,"Others (Split Units, Unitary Systems)",20.0,,,18.0,N,164.63583841463415,156.68296239837397,156.37033028455284,Improved,2nd Quartile,Y,588182,1.34489840944008,103.773848162074,BUKIT TIMAH
"6B ORANGE GROVE ROAD, SINGAPORE 258332",Office,Small,No,1989.0,,,No,2099.0,0.9766555502620295,85.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,331.65708909004286,329.5316579323487,363.530986183897,Worsened,Bottom Quartile,Y,258332,1.30813159978124,103.827939251815,NEWTON
"1 FUSIONOPOLIS PLACE, SINGAPORE 138522",Office,Large,No,2014.0,2014.0,Platinum,Yes,68839.0,0.8549804616569096,98.0,,Water Cooled Chilled Water Plant,2.0,0.65,2018.0,25.0,N,182.90999288194192,184.4022429146269,184.68267987623295,Worsened,2nd Quartile,Y,138522,1.29986251400969,103.788101008299,QUEENSTOWN
"38 MAXWELL ROAD, SINGAPORE 069116",Office,Small,No,1900.0,,,No,2477.0,0.6608800968914009,62.0,,"Others (Split Units, Unitary Systems)",18.0,,,0.0,N,304.82047234557933,224.83551069842554,226.68605974969722,Worsened,3rd Quartile,Y,069116,1.27906414553361,103.845030482727,OUTRAM
"60 LORONG 8 GEYLANG, SINGAPORE 399120",Hotel,Small,No,1991.0,,,No,702.0,0.8547008547008547,60.0,38.0,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,118.09891,142.25874643874644,139.69884615384615,Improved,Top Quartile,Y,399120,1.30992604128845,103.87708447354,GEYLANG
"604 SEMBAWANG ROAD, SINGAPORE 758459",Retail,Large,No,2008.0,2016.0,Gold,Yes,19146.0,0.6241512587485637,99.0,,Water Cooled Chilled Water Plant,8.0,,,0.0,Y,559.1470316407524,503.7157891987883,488.0403478533375,Improved,3rd Quartile,Y,758459,1.44185307934021,103.824970378482,SEMBAWANG
"170 UPPER BUKIT TIMAH ROAD, SINGAPORE 588179",Retail,Large,No,1978.0,2014.0,Gold,Yes,29985.0,0.8671002167750542,90.0,,Water Cooled Chilled Water Plant,3.0,0.65,2013.0,0.0,N,137.6730491912623,148.18698749374687,156.09973586793396,Worsened,Top Quartile,Y,588179,1.34332078949297,103.775854160806,BUKIT TIMAH
"146 ROBINSON ROAD, SINGAPORE 068909",Office,Small,No,1996.0,,,No,4730.0,0.6420718816067653,70.0,,Air Cooled Chilled Water Plant,22.0,,,5.0,N,164.40380549682877,149.31923890063425,141.9936575052854,Improved,2nd Quartile,Y,068909,1.27816986052439,103.848096101169,DOWNTOWN CORE
"1 TAMPINES CENTRAL 1, SINGAPORE 529539",Office,Small,No,1997.0,,,No,8905.0,0.9998877035373386,100.0,,Water Cooled Chilled Water Plant,21.0,1.18,2018.0,70.0,N,1411.9056822010107,1394.0994048287478,1399.7049298147106,Worsened,Bottom Quartile,Y,529539,1.35215248961094,103.942836203396,TAMPINES
"156 CECIL STREET, SINGAPORE 069544",Office,Small,No,1991.0,,,No,11315.0,0.7799381352187362,97.0,,Water Cooled Chilled Water Plant,2.0,1.06,2018.0,15.0,N,201.91450640742374,177.59794785682723,157.75098630136986,Improved,2nd Quartile,Y,069544,1.28000865103067,103.848169919257,DOWNTOWN CORE
"80 RAFFLES PLACE, SINGAPORE 048624",Office,Large,No,1992.0,2013.0,GoldPlus,Yes,100125.0,0.6537228464419476,95.0,,Water Cooled Chilled Water Plant,5.0,0.65,2015.0,30.0,N,293.9812456429463,274.79563835205994,290.05015210986267,Worsened,Bottom Quartile,Y,048624,1.28547360879559,103.850332786212,DOWNTOWN CORE
"8 ANTHONY ROAD, SINGAPORE 229957",Office,Small,No,2009.0,,,No,12875.0,0.9913009708737864,100.0,,Air Cooled Chilled Water Plant,9.0,,,0.0,N,331.40768932038833,305.5207766990291,293.76155339805825,Improved,Bottom Quartile,Y,229957,1.31122469335165,103.837764602288,NEWTON
"396 ALEXANDRA ROAD, SINGAPORE 119954",Office,Large,No,1995.0,2017.0,GoldPlus,Yes,30469.0,0.7376677934950278,95.0,,Water Cooled Chilled Water Plant,1.0,0.58,2015.0,85.0,N,655.0769637992714,657.1311250779481,700.850101742755,Worsened,Bottom Quartile,Y,119954,1.27792459742623,103.802264350614,QUEENSTOWN
"148 UPPER BUKIT TIMAH ROAD, SINGAPORE 588178",Office,Small,No,1999.0,,,No,2340.0,0.7636752136752136,90.0,10.0,"Others (Split Units, Unitary Systems)",0.0,,,50.0,N,158.81741025641026,149.37626068376068,136.1285170940171,Improved,2nd Quartile,Y,588178,1.34268815693082,103.776061669312,BUKIT TIMAH
"490 LORONG 6 TOA PAYOH, SINGAPORE 310490",Office,Large,Yes,2000.0,2014.0,Platinum,Yes,187345.0,0.6549894579519069,100.0,,Water Cooled Chilled Water Plant,1.0,0.63,2015.0,40.0,Y,231.52476874216018,218.55848317275615,216.29007809122209,Improved,3rd Quartile,Y,310490,1.33257202428232,103.848546835662,TOA PAYOH
"189 SELEGIE ROAD, SINGAPORE 188332",Retail,Small,No,1986.0,,,No,2019.0,1.0,90.0,,Water Cooled Chilled Water Plant,20.0,,,0.0,N,449.94325903912824,474.6005993065874,484.56204556711236,Worsened,Bottom Quartile,Y,188332,0,0,NA
"1 ORCHARD SPRING LANE, SINGAPORE 247729",Office,Large,Yes,1995.0,,,No,18089.0,0.5844435844988667,95.0,,Water Cooled Chilled Water Plant,3.0,0.65,2015.0,35.0,N,178.0528912598817,164.4223384377246,151.9869500801592,Improved,2nd Quartile,Y,247729,1.30372402484036,103.82390537656,ORCHARD
"81 SCIENCE PARK DRIVE, SINGAPORE 118257",Office,Small,No,1994.0,,,No,7816.0,0.6093909928352098,87.0,,"Others (Split Units, Unitary Systems)",0.0,,,95.0,N,317.05486438075746,304.01233239508696,203.95640736949846,Improved,3rd Quartile,Y,118257,1.28902935949271,103.790527931409,QUEENSTOWN
"83 SCIENCE PARK DRIVE, SINGAPORE 118258",Office,Small,No,1994.0,,,No,7816.0,0.6093909928352098,68.0,,"Others (Split Units, Unitary Systems)",0.0,,,96.0,N,194.83769319344935,167.78907369498464,194.69029426816783,Worsened,3rd Quartile,Y,118258,1.28869901860822,103.791083399028,QUEENSTOWN
"85 SCIENCE PARK DRIVE, SINGAPORE 118259",Office,Small,No,1994.0,,,No,8760.0,0.5437214611872146,86.0,,"Others (Split Units, Unitary Systems)",0.0,,,92.0,N,926.287703196347,885.1156712328767,869.9414760273972,Improved,Bottom Quartile,Y,118259,1.28827902578068,103.79054571256,QUEENSTOWN
"8 RAFFLES AVENUE, SINGAPORE 039802",Retail,Large,No,2002.0,2018.0,Platinum,Yes,106584.0,0.904848210240145,70.0,,Water Cooled Chilled Water Plant,1.0,0.58,2018.0,80.0,N,312.1314079036253,309.28735082188695,264.2092434136456,Improved,2nd Quartile,Y,039802,1.28935082986746,103.855901267402,DOWNTOWN CORE
"1 NANSON ROAD, SINGAPORE 238909",Hotel,Large,No,2017.0,,,No,14284.0,1.0,80.0,225.0,Water Cooled Chilled Water Plant,1.0,,,70.0,N,26.381440072808736,138.10470316437974,390.9011957434892,Worsened,Bottom Quartile,Y,238909,1.29004703709958,103.838613292488,SINGAPORE RIVER
"11 PRINSEP LINK, SINGAPORE 187949",Office,Small,Yes,1991.0,,,No,828.0,0.9420289855072463,78.0,,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,439.86737922705316,410.9388888888889,484.17314009661834,Worsened,Bottom Quartile,Y,187949,1.30010338585037,103.850293565959,ROCHOR
"26 BEACH ROAD, SINGAPORE 189768",Mixed Development,Large,No,2015.0,2011.0,Platinum,Yes,111707.0,0.11054421768707483,80.0,,District Cooling Plant,4.0,,,40.0,N,229.97495993063401,264.35773496737,264.23611770077076,Improved,Not benchmarked,Y,189768,1.29450363767283,103.856081800068,DOWNTOWN CORE
"9 KING GEORGES AVENUE, SINGAPORE 208581",Office,Small,Yes,2009.0,2009.0,GoldPlus,Yes,14647.0,0.8680275824400902,100.0,,Water Cooled Chilled Water Plant,8.0,,,0.0,N,145.93911585990304,146.57554721103298,145.36375981429646,Improved,2nd Quartile,Y,208581,1.30856889161962,103.85921493175,KALLANG
"160 ROBINSON ROAD, SINGAPORE 068914",Office,Large,No,2017.0,2014.0,Platinum,Yes,28189.0,0.9499804888431658,82.0,,Water Cooled Chilled Water Plant,3.0,,,80.0,N,64.7040334882401,126.80847919401184,148.42559615452836,Worsened,2nd Quartile,Y,068914,1.27812790985944,103.847854628243,DOWNTOWN CORE
"15A CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486035",Office,Large,No,2007.0,,,No,19876.0,0.7546790098611391,100.0,,District Cooling Plant,9.0,,,40.0,N,133.30764942644396,119.53969007848661,115.77856258804589,Improved,Not benchmarked,Y,486035,1.33796640067292,103.964628553987,TAMPINES
"66 EAST COAST ROAD, SINGAPORE 428778",Retail,Small,No,2017.0,2017.0,Certified,Yes,5800.0,0.6896551724137931,14.0,,"Others (Split Units, Unitary Systems)",2.0,,,100.0,N,0.0,42.675,86.94534482758621,Worsened,Top Quartile,Y,428778,1.30457354662016,103.904203116447,MARINE PARADE
"60 PAYA LEBAR ROAD, SINGAPORE 409051",Office,Large,No,2014.0,2013.0,GoldPlus,Yes,61153.0,1.0,93.0,,Water Cooled Chilled Water Plant,2.0,0.58,2016.0,19.0,N,230.59161055058624,243.03448726963518,243.43241558059293,Worsened,3rd Quartile,Y,409051,1.31881486980278,103.892580778242,GEYLANG
"42 CARPENTER STREET, SINGAPORE 059921",Hotel,Small,No,2010.0,,,No,1379.0,0.971718636693256,65.0,41.0,"Others (Split Units, Unitary Systems)",1.0,,,13.0,N,254.96263959390862,211.00217548948513,179.6535895576505,Improved,Top Quartile,Y,059921,1.28779626310358,103.847935759231,SINGAPORE RIVER
"3 MILLER STREET, SINGAPORE 188899",Office,Small,No,1963.0,,,No,465.0,0.1935483870967742,10.0,,"Others (Split Units, Unitary Systems)",1.0,,,100.0,N,78.76774193548387,124.71827956989247,143.6516129032258,Worsened,2nd Quartile,Y,188899,1.29680637553002,103.853002674525,DOWNTOWN CORE
"180 ORCHARD ROAD, SINGAPORE 238846",Retail,Small,No,1994.0,,,No,1715.0,0.7959183673469388,100.0,,"Others (Split Units, Unitary Systems)",20.0,,,25.0,N,560.5785189504372,405.81864723032066,357.8831020408163,Improved,3rd Quartile,Y,238846,1.30148487514509,103.839139972614,ORCHARD
"71 STAMFORD ROAD, SINGAPORE 178895",Office,Small,No,1901.0,,,No,2900.0,0.7931034482758621,100.0,,Water Cooled Chilled Water Plant,5.0,,,0.0,N,323.9413793103448,263.0940551724138,290.9578482758621,Worsened,Bottom Quartile,Y,178895,1.29463694123076,103.849828298084,MUSEUM
"25 LORONG 18 GEYLANG, SINGAPORE 398806",Hotel,Small,No,1997.0,,,No,1000.0,0.65,40.0,42.0,"Others (Split Units, Unitary Systems)",10.0,,,5.0,N,99.94416,92.12519999999999,100.01567,Worsened,Top Quartile,Y,398806,1.31185997435405,103.880838727768,GEYLANG
"1 TAMPINES INDUSTRIAL AVENUE 3, SINGAPORE 528777",Office,Large,Yes,2006.0,,,No,15342.0,0.7143788293573198,100.0,,Air Cooled Chilled Water Plant,12.0,1.44,2018.0,0.0,N,175.9352177030374,168.7829546343371,155.69033633163866,Improved,2nd Quartile,Y,528777,1.3580812477539,103.929394998736,PAYA LEBAR
"600 LORONG 4 TOA PAYOH, SINGAPORE 319515",Retail,Small,No,2003.0,,,No,3661.0,0.7506145861786397,95.0,,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,631.8736899563319,444.1646490030046,487.30554766457254,Worsened,Bottom Quartile,Y,319515,1.33403623894465,103.850977706475,TOA PAYOH
"41 LORONG 16 GEYLANG, SINGAPORE 398877",Hotel,Small,No,1974.0,,,No,592.0,0.8108108108108109,70.0,22.0,Water Cooled Packaged Unit,5.0,,,0.0,N,72.75337837837837,59.310810810810814,91.75337837837837,Worsened,Top Quartile,Y,398877,1.31152648784823,103.880244219283,GEYLANG
"81 BEACH ROAD, SINGAPORE 189692",Hotel,Small,No,1997.0,,,No,2839.0,0.23071504050722086,100.0,88.0,"Others (Split Units, Unitary Systems)",4.0,,,100.0,N,216.63955618175413,209.6515322296583,209.5758717858401,Improved,2nd Quartile,Y,189692,1.29720600498372,103.856493945033,DOWNTOWN CORE
"1 NANYANG WALK, SINGAPORE 637616",Univerisity,Large,No,2000.0,2017.0,Platinum,Yes,109181.0,0.5495461664575338,85.0,,Water Cooled Chilled Water Plant,1.0,0.61,2017.0,21.0,N,84.42684956927528,80.29032523973952,79.1458220752695,Improved,Not benchmarked,Y,637616,1.34855519746164,103.678124612295,WESTERN WATER CATCHMENT
"51 TAMPINES AVENUE 4, SINGAPORE 529684",Office,Large,Yes,2016.0,2018.0,Platinum,Yes,120263.0,0.35316764092031633,100.0,,Water Cooled Chilled Water Plant,3.0,0.58,2018.0,70.0,Y,18.464864505292567,67.83239175806358,1.1515323915086102,Improved,Top Quartile,Y,529684,0,0,NA
"200 CANTONMENT ROAD, SINGAPORE 089763",Office,Large,No,1986.0,,,No,33736.0,0.8003319895660422,86.0,,Water Cooled Chilled Water Plant,1.0,0.69,2018.0,0.0,N,176.00256995494428,173.00066338629358,157.83756936210577,Improved,2nd Quartile,Y,089763,1.27342504453311,103.841261971386,BUKIT MERAH
"452 NORTH BRIDGE ROAD, SINGAPORE 188733",Office,Small,No,1979.0,,,No,955.0,0.9089005235602095,95.0,,"Others (Split Units, Unitary Systems)",10.0,,,50.0,N,316.27618663594467,258.6521884816754,272.32628272251304,Worsened,Bottom Quartile,Y,188733,1.29774507797931,103.855339112642,DOWNTOWN CORE
"218 CHANGI ROAD, SINGAPORE 419737",Office,Small,No,1962.0,,,No,2807.0,0.5293908086925543,75.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,87.82187388671178,91.5863377271108,108.51727467046669,Worsened,Top Quartile,Y,419737,1.31724313147952,103.904261116818,GEYLANG
"61 ANG MO KIO AVENUE 8, SINGAPORE 569814",Retail,Small,No,2011.0,,,No,5096.0,0.9811616954474097,100.0,,Water Cooled Packaged Unit,6.0,,,100.0,N,413.44284929356354,436.3721624803768,432.9442798273157,Improved,3rd Quartile,Y,569814,1.37178558575829,103.847837565378,ANG MO KIO
"321 CLEMENTI AVENUE 3, SINGAPORE 129905",Retail,Small,No,2016.0,2015.0,Platinum,Yes,7564.0,0.7530407191961925,80.0,,Water Cooled Chilled Water Plant,1.0,,,60.0,Y,356.5391248016922,328.30226731887893,348.83806848228454,Worsened,2nd Quartile,Y,129905,1.31200212030821,103.764986676365,CLEMENTI
"110 MIDDLE ROAD, SINGAPORE 188968",Office,Small,No,1975.0,,,No,2997.0,1.0,95.0,,Water Cooled Packaged Unit,38.0,,,0.0,N,209.09254587921254,200.50621621621622,197.89923256589924,Improved,3rd Quartile,Y,188968,1.29897975517742,103.853856480041,ROCHOR
"246 BALESTIER ROAD, SINGAPORE 329706",Hotel,Small,No,1955.0,,,No,993.0,0.8962739174219537,80.0,9999.0,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,180.39073514602217,160.2183081570997,146.85779456193353,Improved,Top Quartile,Y,329706,1.32176388648482,103.853144242099,NOVENA
"777 UPPER SERANGOON ROAD, SINGAPORE 534645",Retail,Small,No,1986.0,,,No,2324.0,0.8605851979345955,90.0,,"Others (Split Units, Unitary Systems)",5.0,,,80.0,N,127.16135972461274,119.29904905335628,105.3051678141136,Improved,Top Quartile,Y,534645,1.35497685244355,103.878547948576,HOUGANG
"20 MAXWELL ROAD, SINGAPORE 069113",Office,Large,No,1975.0,2017.0,Platinum,Yes,16608.0,1.0,98.0,,Water Cooled Chilled Water Plant,1.0,0.6,2018.0,100.0,N,158.03636319845856,153.04139210019267,123.79073157514452,Improved,Top Quartile,Y,069113,1.27899924309962,103.844679920086,OUTRAM
"60 JOO CHIAT ROAD, SINGAPORE 427726",Hotel,Small,No,1988.0,,,No,2185.0,0.9002288329519451,65.0,81.0,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,309.0511121281465,348.998,372.5296109839817,Worsened,Bottom Quartile,Y,427726,1.31472881913583,103.898383226749,GEYLANG
"20 LORONG 17 GEYLANG, SINGAPORE 388575",Hotel,Small,No,2000.0,,,No,2654.0,0.7724189902034665,75.0,86.0,"Others (Split Units, Unitary Systems)",12.0,,,60.0,N,267.3159382064808,265.7060964581763,267.76955538809347,Worsened,3rd Quartile,Y,388575,1.31351598623946,103.8788648412,GEYLANG
"7 HONGKONG STREET, SINGAPORE 059650",Hotel,Small,No,2016.0,,,No,663.0,1.0,78.0,27.0,"Others (Split Units, Unitary Systems)",1.0,,,100.0,N,214.54901960784315,278.18202111613874,297.2670286576169,Worsened,3rd Quartile,Y,059650,1.28746405023468,103.847711699114,SINGAPORE RIVER
"58 SOUTH BRIDGE ROAD, SINGAPORE 058689",Hotel,Small,No,2014.0,,,No,1125.0,0.8888888888888888,55.0,44.0,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,190.3575111111111,169.95245333333335,183.98314666666664,Worsened,Top Quartile,Y,058689,1.28754164915197,103.848141339182,SINGAPORE RIVER
"769 NORTH BRIDGE ROAD, SINGAPORE 198737",Hotel,Small,No,2017.0,,,No,996.0,1.0,46.0,35.0,Air Cooled Chilled Water Plant,0.0,,,70.0,N,78.90686746987953,271.73687751004013,335.8238453815261,Worsened,3rd Quartile,Y,198737,1.30366839859353,103.859593775083,ROCHOR
"6 YIO CHU KANG ROAD, SINGAPORE 545521",Mixed Development,Small,No,1977.0,,,No,1945.0,0.40154241645244215,90.0,6.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,18.154493573264784,18.388853470437017,14.177886889460153,Improved,Top Quartile,Y,545521,1.35458411311499,103.877789977988,HOUGANG
"1 LARKHILL ROAD, SINGAPORE 099394",Hotel,Large,No,2007.0,2019.0,Platinum,Yes,15020.0,0.7384820239680426,55.0,140.0,Air Cooled Chilled Water Plant,3.0,1.45,2018.0,15.0,N,417.39144878706196,418.6653395472703,401.155965379494,Improved,Bottom Quartile,Y,099394,1.25212799954492,103.822016584885,SOUTHERN ISLANDS
"11 CANNING WALK, SINGAPORE 178881",Hotel,Large,No,2012.0,2015.0,GoldPlus,Yes,8922.0,1.0,65.0,86.0,Water Cooled Chilled Water Plant,2.0,,,70.0,N,350.0493880295898,340.55949899125756,326.2014223268326,Improved,Bottom Quartile,Y,178881,1.29633332548442,103.845641414159,MUSEUM
"18 MOSQUE STREET, SINGAPORE 059498",Hotel,Small,No,1996.0,,,No,1250.0,0.8,80.0,46.0,"Others (Split Units, Unitary Systems)",1.0,,,100.0,N,266.135016,426.167016,442.307984,Worsened,Bottom Quartile,Y,059498,1.28372763204993,103.844571640916,OUTRAM
"20 TRENGGANU STREET, SINGAPORE 058479",Hotel,Small,No,2010.0,,,No,2633.0,0.3076338777060387,100.0,40.0,"Others (Split Units, Unitary Systems)",1.0,,,30.0,N,412.4681731864793,440.98930117736427,411.33019369540455,Improved,Bottom Quartile,Y,058479,1.28289140330993,103.843955467485,OUTRAM
"10 JALAN BESAR, SINGAPORE 208787",Mixed Development,Large,No,1981.0,2018.0,GoldPlus,Yes,22772.0,0.8499912172843843,95.0,,Water Cooled Chilled Water Plant,3.0,0.62,2018.0,100.0,N,140.65122760014054,135.19117293167048,128.3344532759529,Improved,Top Quartile,Y,208787,1.30377222122298,103.85466144692,ROCHOR
"623 CHOA CHU KANG STREET 62, SINGAPORE 680623",Retail,Small,Yes,1996.0,,,No,5659.0,0.3737409436296165,100.0,,"Others (Split Units, Unitary Systems)",11.0,,,5.0,N,162.74267538434353,146.75009188902632,146.02637745184663,Improved,Top Quartile,Y,680623,1.39832134529461,103.747344865384,CHOA CHU KANG
"2 ONE-NORTH GATEWAY, SINGAPORE 138502",Private School,Small,No,2014.0,2016.0,Platinum,Yes,5378.0,0.9109334325027891,95.0,,"Others (Split Units, Unitary Systems)",2.0,,,15.0,N,209.273707698029,199.3343250278914,179.1325771662328,Improved,Not benchmarked,Y,138502,0,0,NA
"1 WOODLANDS ROAD, SINGAPORE 677899",Retail,Small,No,2011.0,,,No,10967.0,0.7294611106045409,89.0,,"Others (Split Units, Unitary Systems)",5.0,,,60.0,N,498.0448609464758,481.8198130755904,399.57285948755356,Improved,3rd Quartile,Y,677899,1.38052136831842,103.760059425997,CHOA CHU KANG
"200 BUKIT TIMAH ROAD, SINGAPORE 229862",Office,Small,No,1998.0,,,No,815.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,186.47082208588958,150.17250306748466,131.93440490797548,Improved,2nd Quartile,Y,229862,1.31184270637438,103.842073363162,NOVENA
