Building Address,"Building Type
(Office Building, Hotel, Retail Building, Mixed Development)","Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Green Mark Rating,Green Mark Year of Award,"Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Gross Floor Area (m2),"2015 Energy Use Intensity (EUI)
(kWh/m2.yr) ","2016 
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ",Voluntary Disclosure,postal_code,lat,lon,plan_area
"1 CANNING RISE, SINGAPORE 179868",Office,No,,,Small,8214.0,370.0,386,Y,179868,1.29296733005703,103.848299538922,MUSEUM
"59 NEW BRIDGE ROAD, SINGAPORE 059405",Office,No,,,Small,1171.0,121.0,137,Y,059405,1.28793062954853,103.846912565537,SINGAPORE RIVER
"144 ROBINSON ROAD, SINGAPORE 068908",Office,Yes,Certified,2014.0,Small,4164.0,73.0,94,Y,068908,1.27826614361665,103.848149742737,DOWNTOWN CORE
"5 ALBERT WINSEMIUS LANE, SINGAPORE 126787",Office,No,,,Small,1314.0,164.0,160,Y,126787,1.32136352947377,103.769151103075,CLEMENTI
"135 BUKIT TIMAH ROAD, SINGAPORE 229837",Office,No,,,Small,3811.0,234.0,231,Y,229837,1.31044978125442,103.843421193775,NEWTON
"79 AYER RAJAH CRESCENT, SINGAPORE 139955",Office,No,,,Small,13510.0,94.0,114,Y,139955,1.29795856720987,103.787435440348,QUEENSTOWN
"51 SCIENCE PARK ROAD, SINGAPORE 117586",Office,No,,,Small,14695.0,1005.0,946,Y,117586,1.2874103128712,103.783100732754,QUEENSTOWN
"3 SOUTH BUONA VISTA ROAD, SINGAPORE 118136",Office,No,,,Small,1751.0,282.0,272,Y,118136,1.27980322314972,103.78590960328,QUEENSTOWN
"204 BUKIT TIMAH ROAD, SINGAPORE 229863",Office,No,,,Small,2500.0,68.0,63,Y,229863,1.31189406476374,103.841976879925,NOVENA
"251 NORTH BRIDGE ROAD, SINGAPORE 179102",Office,No,,,Small,9938.0,221.0,224,Y,179102,1.29435373711783,103.852384315763,DOWNTOWN CORE
"10 SIN MING DRIVE, SINGAPORE 575701",Office,Yes,Platinum,2011.0,Small,12893.0,280.0,299,Y,575701,1.35700321140485,103.837010656506,BISHAN
"181 RIVER VALLEY ROAD, SINGAPORE 179034",Office,No,,,Small,4551.0,317.0,313,Y,179034,1.29245293850555,103.843828400764,SINGAPORE RIVER
"15 BEACH ROAD, SINGAPORE 189677",Office,Yes,Platinum,2016.0,Small,7669.0,23.0,67,Y,189677,1.29581740784512,103.855503631917,DOWNTOWN CORE
"81 SCIENCE PARK DRIVE, SINGAPORE 118257",Office,No,,,Small,7816.0,313.0,317,Y,118257,1.28902935949271,103.790527931409,QUEENSTOWN
"83 SCIENCE PARK DRIVE, SINGAPORE 118258",Office,No,,,Small,7816.0,257.0,195,Y,118258,1.28869901860822,103.791083399028,QUEENSTOWN
"85 SCIENCE PARK DRIVE, SINGAPORE 118259",Office,No,,,Small,8760.0,880.0,926,Y,118259,1.28827902578068,103.79054571256,QUEENSTOWN
"3 SCIENCE PARK DRIVE, SINGAPORE 118223",Office,No,,,Small,8900.0,326.0,294,Y,118223,0,0,NA
"333 JALAN BESAR, SINGAPORE 209018",Office,No,,,Small,1600.0,75.0,74,Y,209018,1.31188420605731,103.85925646337,KALLANG
"137 TELOK AYER STREET, SINGAPORE 068602",Office,No,,,Small,9233.0,236.0,250,Y,068602,1.28081311032725,103.848012161497,OUTRAM
"112 MIDDLE ROAD, SINGAPORE 188970",Office,No,,,Small,3971.0,178.0,156,Y,188970,1.29907498369995,103.853742833504,ROCHOR
"6 CLAYMORE HILL, SINGAPORE 229571",Office,No,,,Small,3086.0,350.0,359,Y,229571,1.30680827690433,103.831622132301,ORCHARD
"228 CHANGI ROAD, SINGAPORE 419741",Office,No,,,Small,4413.0,52.0,46,Y,419741,1.31724236939499,103.904690327616,GEYLANG
"21 TAN QUEE LAN STREET, SINGAPORE 188108",Office,No,,,Small,1857.0,295.0,264,Y,188108,1.29858926583677,103.856405058091,DOWNTOWN CORE
"252 TEMBELING ROAD, SINGAPORE 423731",Office,No,,,Small,2044.0,136.0,135,Y,423731,1.30646586931309,103.905318255744,MARINE PARADE
"212 TELOK KURAU ROAD, SINGAPORE 423835",Office,No,,,Small,3406.0,48.0,58,Y,423835,1.31208929632504,103.910595032354,BEDOK
"150 CHANGI ROAD, SINGAPORE 419973",Office,No,,,Small,3904.0,221.0,219,Y,419973,1.31666836555229,103.902213409767,GEYLANG
"7 HINDOO ROAD, SINGAPORE 209108",Office,No,,,Small,2048.0,70.0,72,Y,209108,1.30873484923478,103.853876125276,ROCHOR
"24 MOUNT ELIZABETH, SINGAPORE 228518",Hotel,No,,,Large,16872.0,288.0,284,Y,228518,1.30820322497533,103.835810152627,NEWTON
"170 BENCOOLEN STREET, SINGAPORE 189657",Hotel,No,,,Large,15022.0,342.0,336,Y,189657,1.30108493650889,103.85252768725,ROCHOR
"403 HAVELOCK ROAD, SINGAPORE 169632",Hotel,Yes,Platinum,2014.0,Large,17598.0,284.0,258,Y,169632,1.28825972041875,103.836657784125,SINGAPORE RIVER
"12 QUEEN STREET, SINGAPORE 188553",Hotel,No,,,Large,12565.0,259.0,249,Y,188553,1.29755506526153,103.852228303832,ROCHOR
"50 TIONG BAHRU ROAD, SINGAPORE 168733",Hotel,No,,,Large,10194.0,219.0,266,Y,168733,1.28485721631277,103.834320617173,BUKIT MERAH
"25 SCOTTS ROAD, SINGAPORE 228220",Hotel,Yes,Gold,2013.0,Large,47107.0,281.0,282,Y,228220,1.30700148159343,103.83235806558,ORCHARD
"8 SINARAN DRIVE, SINGAPORE 307470",Hotel,No,,,Large,22765.0,375.0,380,Y,307470,1.32003005012669,103.844782386745,NOVENA
"20 MERCHANT ROAD, SINGAPORE 058281",Hotel,Yes,Platinum,2013.0,Large,38054.0,207.0,188,Y,058281,1.2882180283587,103.845692302876,SINGAPORE RIVER
"2 TOWN HALL LINK, SINGAPORE 608516",Hotel,Yes,Platinum,2015.0,Large,19147.0,183.0,261,Y,608516,1.33153804374121,103.739340154836,JURONG EAST
"1 BEACH ROAD, SINGAPORE 189673",Hotel,No,,,Large,43360.0,314.0,317,Y,189673,1.29509740789339,103.85406834457,DOWNTOWN CORE
"35 ROBINSON ROAD, SINGAPORE 068876",Hotel,Yes,Platinum,2016.0,Large,7450.0,340.0,325,Y,068876,1.27992197150836,103.849654790724,DOWNTOWN CORE
"401 HAVELOCK ROAD, SINGAPORE 169631",Hotel,No,,,Large,23554.0,206.0,207,Y,169631,1.28821990429676,103.837414946943,SINGAPORE RIVER
"1 NETHERAVON ROAD, SINGAPORE 508502",Hotel,No,,,Large,22826.0,242.0,240,Y,508502,1.39040211480822,103.98606107081,CHANGI
"270 ORCHARD ROAD, SINGAPORE 238857",Hotel,No,,,Large,23207.0,358.0,276,Y,238857,1.30310526043246,103.836202006497,ORCHARD
"405 HAVELOCK ROAD, SINGAPORE 169633",Hotel,Yes,Platinum,2013.0,Large,37570.0,216.0,239,Y,169633,1.28769285607795,103.836160045113,SINGAPORE RIVER
"96 SOMERSET ROAD, SINGAPORE 238163",Hotel,No,,,Large,12401.0,265.0,266,Y,238163,1.30088651709242,103.837908858018,ORCHARD
"3 NANSON ROAD, SINGAPORE 238910",Hotel,Yes,Gold,2015.0,Large,8210.0,479.0,463,Y,238910,1.29080253875441,103.839151293259,SINGAPORE RIVER
"6 FORT CANNING ROAD, SINGAPORE 179494",Hotel,No,,,Large,14576.0,198.0,194,Y,179494,1.29747528172273,103.845019882844,MUSEUM
"23 MERCHANT ROAD, SINGAPORE 058268",Hotel,No,,,Large,12306.0,427.0,406,Y,058268,1.28808111341912,103.844510674993,SINGAPORE RIVER
"9 BRAS BASAH ROAD, SINGAPORE 189559",Hotel,No,,,Large,19720.0,339.0,329,Y,189559,1.29862529263979,103.849332451138,MUSEUM
"30 BENCOOLEN STREET, SINGAPORE 189621",Hotel,No,,,Large,7141.0,210.0,184,Y,189621,1.29849650843341,103.85040674806,ROCHOR
"180 ALBERT STREET, SINGAPORE 189971",Hotel,No,,,Large,11426.0,237.0,217,Y,189971,1.30415190754344,103.851114076729,ROCHOR
"23 BEACH VIEW, SINGAPORE 098679",Hotel,No,,,Large,10453.0,553.0,553,Y,098679,1.25324887401431,103.819866102572,SOUTHERN ISLANDS
"201 BALESTIER ROAD, SINGAPORE 329926",Hotel,No,,,Large,10136.0,291.0,298,Y,329926,1.32005187342709,103.852519734445,NOVENA
"30 ORANGE GROVE ROAD, SINGAPORE 258352",Hotel,Yes,GoldPlus,2016.0,Large,21466.0,113.0,100,Y,258352,1.31296618719617,103.826034630827,TANGLIN
"1 THE KNOLLS, SINGAPORE 098297",Hotel,No,,,Large,42461.0,348.0,360,Y,098297,1.24945446387238,103.824447113771,SOUTHERN ISLANDS
"1 TANGLIN ROAD, SINGAPORE 247905",Hotel,Yes,Gold,2014.0,Large,26657.0,278.0,266,Y,247905,1.30661330825123,103.827764147951,ORCHARD
"11 UNITY STREET, SINGAPORE 237995",Hotel,No,,,Large,22157.0,409.0,395,Y,237995,1.29198845518713,103.841198727907,SINGAPORE RIVER
"11 CAVENAGH ROAD, SINGAPORE 229616",Hotel,No,,,Large,31251.0,250.0,252,Y,229616,1.30227912634395,103.841101583104,ORCHARD
"51 IMBIAH WALK, SINGAPORE 099538",Hotel,No,,,Large,8651.0,252.0,261,Y,099538,1.25438420585124,103.814765752204,SOUTHERN ISLANDS
"16 SCOTTS ROAD, SINGAPORE 228221",Hotel,Yes,Gold,2016.0,Large,29616.0,327.0,306,Y,228221,1.30771173944605,103.834556167895,ORCHARD
"177A RIVER VALLEY ROAD, SINGAPORE 179031",Hotel,Yes,GoldPlus,2013.0,Large,28548.0,270.0,257,Y,179031,0,0,NA
"1 GOPENG STREET, SINGAPORE 078862",Hotel,Yes,Platinum,2013.0,Large,20331.0,268.0,265,Y,078862,1.27595846441911,103.843698494444,OUTRAM
"25 MARINE PARADE, SINGAPORE 449536",Hotel,Yes,Certified,2013.0,Large,22540.0,213.0,211,Y,449536,1.30377937020921,103.90291224848,MARINE PARADE
"317 OUTRAM ROAD, SINGAPORE 169075",Hotel,No,,,Large,54042.0,288.0,289,Y,169075,1.28896723470825,103.834188484711,BUKIT MERAH
"75 AIRPORT BOULEVARD, SINGAPORE 819664",Hotel,Yes,Certified,2008.0,Large,31303.0,279.0,279,Y,819664,1.35872080296023,103.98796702598,CHANGI
"51 BENCOOLEN STREET, SINGAPORE 189630",Hotel,No,,,Large,9336.0,170.0,173,Y,189630,1.29937379615615,103.850356180598,ROCHOR
"1 LARKHILL ROAD, SINGAPORE 099394",Hotel,No,,,Large,14840.0,400.0,417,Y,099394,1.25212799954492,103.822016584885,SOUTHERN ISLANDS
"11 CANNING WALK, SINGAPORE 178881",Hotel,Yes,GoldPlus,2015.0,Large,8922.0,332.0,350,Y,178881,1.29633332548442,103.845641414159,MUSEUM
"60 EU TONG SEN STREET, SINGAPORE 059804",Hotel,Yes,Platinum,2013.0,Large,25857.0,244.0,249,Y,059804,1.28649701803051,103.844628721032,OUTRAM
"20 BIDEFORD ROAD, SINGAPORE 229921",Hotel,Yes,Platinum,2013.0,Large,7221.0,191.0,195,Y,229921,1.30322796530206,103.836680361524,ORCHARD
"10 SCOTTS ROAD, SINGAPORE 228211",Hotel,No,,,Large,84230.0,250.0,246,Y,228211,1.30637300291267,103.833257176622,ORCHARD
"21 OCEAN WAY, SINGAPORE 098374",Hotel,Yes,Platinum,2010.0,Large,23800.0,407.0,400,Y,098374,1.24615202701928,103.842698514086,SOUTHERN ISLANDS
"2 MAGAZINE ROAD, SINGAPORE 059573",Hotel,Yes,Platinum,2013.0,Large,11783.0,258.0,266,Y,059573,1.289136974408,103.84201075936,SINGAPORE RIVER
"2 BUKIT MANIS ROAD, SINGAPORE 099891",Hotel,No,,,Large,13752.0,418.0,524,Y,099891,1.24589687601798,103.827569393578,SOUTHERN ISLANDS
"10 CLAYMORE ROAD, SINGAPORE 229540",Hotel,No,,,Large,16599.0,301.0,290,Y,229540,1.30739904535658,103.829895253334,ORCHARD
"21 MOUNT ELIZABETH, SINGAPORE 228516",Hotel,No,,,Large,31184.0,162.0,142,Y,228516,1.30727815075624,103.835434311651,ORCHARD
"76 BRAS BASAH ROAD, SINGAPORE 189558",Hotel,No,,,Large,59329.0,312.0,312,Y,189558,1.29566785883191,103.853025511846,DOWNTOWN CORE
"3 UPPER PICKERING STREET, SINGAPORE 058289",Hotel,Yes,Platinum,2012.0,Large,29227.0,293.0,308,Y,058289,1.28563914231387,103.846290272366,OUTRAM
"101 SILOSO ROAD, SINGAPORE 098970",Hotel,No,,,Large,42009.0,265.0,267,Y,098970,1.25761264764959,103.810143172769,SOUTHERN ISLANDS
"382 HAVELOCK ROAD, SINGAPORE 169629",Hotel,No,,,Large,21089.0,246.0,256,Y,169629,1.28937099358897,103.836603810879,SINGAPORE RIVER
"20 HAVELOCK ROAD, SINGAPORE 059765",Hotel,No,,,Large,17465.0,122.0,116,Y,059765,1.28823635541239,103.843246450204,SINGAPORE RIVER
"8 CLAYMORE HILL, SINGAPORE 229572",Hotel,Yes,Gold,2012.0,Large,13539.0,168.0,206,Y,229572,1.307553840348,103.83198635162,ORCHARD
"442 ORCHARD ROAD, SINGAPORE 238879",Hotel,Yes,Gold,2015.0,Large,44097.0,376.0,388,Y,238879,1.30763000438668,103.828626077801,ORCHARD
"392 HAVELOCK ROAD, SINGAPORE 169663",Hotel,Yes,Platinum,2015.0,Large,51726.0,275.0,262,Y,169663,1.2902823255897,103.835180674862,SINGAPORE RIVER
"190 ORCHARD BOULEVARD, SINGAPORE 248646",Hotel,No,,,Large,34630.0,331.0,329,Y,248646,1.3051747129975,103.828661123245,ORCHARD
"333 NEW BRIDGE ROAD, SINGAPORE 088765",Hotel,No,,,Large,11584.0,264.0,270,Y,088765,1.27962668610529,103.840007592937,OUTRAM
"15 LORONG 22 GEYLANG, SINGAPORE 398673",Hotel,No,,,Small,471.0,228.0,209,Y,398673,1.31231680640985,103.882412116592,GEYLANG
"1 LORONG 14 GEYLANG, SINGAPORE 398913",Hotel,No,,,Small,430.0,224.0,205,Y,398913,1.31219386250005,103.879175955663,GEYLANG
"42 CARPENTER STREET, SINGAPORE 059921",Hotel,No,,,Small,1379.0,254.0,255,Y,059921,1.28779626310358,103.847935759231,SINGAPORE RIVER
"231 OUTRAM ROAD, SINGAPORE 169040",Hotel,No,,,Small,2324.0,391.0,415,Y,169040,1.28432210840071,103.83501003183,BUKIT MERAH
"1 LORONG 10 GEYLANG, SINGAPORE 399035",Hotel,No,,,Small,555.0,245.0,314,Y,399035,1.31192211293165,103.877736760633,GEYLANG
"759 MOUNTBATTEN ROAD, SINGAPORE 437761",Hotel,No,,,Small,1100.0,176.0,162,Y,437761,1.30075433417916,103.891474423485,MARINE PARADE
"195 SERANGOON ROAD, SINGAPORE 218067",Hotel,No,,,Small,2162.0,228.0,248,Y,218067,1.30917901197119,103.853224450863,ROCHOR
"15 LORONG 15 GEYLANG, SINGAPORE 388607",Hotel,No,,,Small,1376.0,227.0,219,Y,388607,1.31316357981332,103.878050317387,GEYLANG
"9 JALAN BESAR, SINGAPORE 208786",Hotel,No,,,Small,760.0,317.0,208,Y,208786,1.30392258346096,103.854120521992,ROCHOR
"77 TIONG BAHRU ROAD, SINGAPORE 168727",Hotel,No,,,Small,1244.0,446.0,422,Y,168727,1.2851017660182,103.833574206012,BUKIT MERAH
"19 LORONG 22 GEYLANG, SINGAPORE 398676",Hotel,No,,,Small,1736.0,289.0,308,Y,398676,1.31219824188241,103.882461217043,GEYLANG
"36 TEMPLE STREET, SINGAPORE 058581",Hotel,No,,,Small,960.0,327.0,321,Y,058581,1.28318399946992,103.843908900413,OUTRAM
"380 RACE COURSE ROAD, SINGAPORE 218702",Hotel,No,,,Small,1490.0,119.0,108,Y,218702,1.31503288314683,103.85727154919,KALLANG
"43 JALAN BESAR, SINGAPORE 208804",Hotel,No,,,Small,817.0,465.0,395,Y,208804,1.30473699686141,103.854663976766,ROCHOR
"165 KITCHENER ROAD, SINGAPORE 208532",Hotel,No,,,Small,2531.0,300.0,293,Y,208532,1.3104761806261,103.856286558041,KALLANG
"301 SERANGOON ROAD, SINGAPORE 218224",Hotel,No,,,Small,2842.0,352.0,362,Y,218224,1.31136670498575,103.854761539297,ROCHOR
"25A PERAK ROAD, SINGAPORE 208136",Hotel,No,,,Small,834.0,,188,Y,208136,1.30552370913502,103.854089453626,ROCHOR
"270 JALAN BESAR, SINGAPORE 209019",Hotel,No,,,Small,3835.0,214.0,208,Y,209019,1.3101639725282,103.858638075894,KALLANG
"240 JALAN BESAR, SINGAPORE 208913",Hotel,No,,,Small,1504.0,250.0,249,Y,208913,1.30942995093768,103.858161749318,KALLANG
"25 BENCOOLEN STREET, SINGAPORE 189619",Hotel,No,,,Small,4268.0,367.0,368,Y,189619,1.29865335914993,103.849738235763,ROCHOR
"37 LORONG 8 GEYLANG, SINGAPORE 399099",Hotel,No,,,Small,604.0,133.0,69,Y,399099,1.31067429337999,103.877397280219,GEYLANG
"12 LORONG 12 GEYLANG, SINGAPORE 398993",Hotel,No,,,Small,4000.0,210.0,123,Y,398993,1.31140044123756,103.878121314712,GEYLANG
"60 LORONG 8 GEYLANG, SINGAPORE 399120",Hotel,No,,,Small,1000.0,131.0,118,Y,399120,1.30992604128845,103.87708447354,GEYLANG
"78 SMITH STREET, SINGAPORE 058972",Hotel,No,,,Small,745.0,394.0,282,Y,058972,1.28318677039418,103.842963545014,OUTRAM
"29 LORONG 4 GEYLANG, SINGAPORE 399281",Hotel,No,,,Small,880.0,263.0,261,Y,399281,1.31016070182565,103.876202861709,GEYLANG
"4 LORONG 6 GEYLANG, SINGAPORE 399166",Hotel,No,,,Small,860.0,245.0,212,Y,399166,1.31146438572052,103.876262185605,GEYLANG
"21 LORONG 22 GEYLANG, SINGAPORE 398678",Hotel,No,,,Small,1400.0,160.0,156,Y,398678,1.31205692542273,103.88245882555,GEYLANG
"25 LORONG 18 GEYLANG, SINGAPORE 398806",Hotel,No,,,Small,1000.0,102.0,100,Y,398806,1.31185997435405,103.880838727768,GEYLANG
"427 RACE COURSE ROAD, SINGAPORE 218673",Hotel,No,,,Small,317.0,214.0,234,Y,218673,1.31591092421275,103.857555412396,KALLANG
"473 BALESTIER ROAD, SINGAPORE 329843",Hotel,No,,,Small,963.0,67.0,59,Y,329843,1.32635986895194,103.847732407861,NOVENA
"56 SIMS AVENUE, SINGAPORE 387416",Hotel,No,,,Small,990.0,172.0,163,Y,387416,1.31325659106523,103.875894238584,GEYLANG
"63 DUNLOP STREET, SINGAPORE 209391",Hotel,No,,,Small,793.0,215.0,223,Y,209391,1.30480301391279,103.853605003383,ROCHOR
"1 LORONG 8 GEYLANG, SINGAPORE 399073",Hotel,No,,,Small,845.0,161.0,178,Y,399073,1.31181028184936,103.877164585055,GEYLANG
"5 BALMORAL CRESCENT, SINGAPORE 259895",Hotel,No,,,Small,3196.0,108.0,116,Y,259895,1.31579084686673,103.834683125895,NEWTON
"79 ALIWAL STREET, SINGAPORE 199949",Hotel,No,,,Small,1130.0,104.0,114,Y,199949,1.30341939306711,103.860234742576,ROCHOR
"586 GEYLANG ROAD, SINGAPORE 389525",Hotel,No,,,Small,340.0,508.0,528,Y,389525,1.31396454705992,103.887584108724,GEYLANG
"37 JALAN BESAR, SINGAPORE 208801",Hotel,No,,,Small,425.0,205.0,187,Y,208801,1.30462080011806,103.854580689549,ROCHOR
"85 BEACH ROAD, SINGAPORE 189694",Hotel,No,,,Small,845.0,405.0,392,Y,189694,1.29730338123128,103.856569781809,DOWNTOWN CORE
"531 SERANGOON ROAD, SINGAPORE 218163",Hotel,No,,,Small,975.0,168.0,188,Y,218163,1.31506814953577,103.857776126994,KALLANG
"30 MOSQUE STREET, SINGAPORE 059508",Hotel,No,,,Small,140.0,694.0,617,Y,059508,1.2835968072765,103.845427762368,OUTRAM
"22 JALAN MOLEK, SINGAPORE 399541",Hotel,No,,,Small,702.0,144.0,129,Y,399541,1.31170571282088,103.88267622409,GEYLANG
"61 WESTERHOUT ROAD, SINGAPORE 397662",Hotel,No,,,Small,816.0,209.0,204,Y,397662,1.31122558971043,103.881036628885,GEYLANG
"83 SYED ALWI ROAD, SINGAPORE 207662",Hotel,No,,,Small,1440.0,284.0,319,Y,207662,1.30898196426413,103.855916073161,ROCHOR
"15 MERBAU ROAD, SINGAPORE 239032",Hotel,No,,,Small,3836.0,337.0,310,Y,239032,1.29116820590977,103.841985999247,SINGAPORE RIVER
"2 LLOYD ROAD, SINGAPORE 239091",Hotel,No,,,Small,1126.0,274.0,328,Y,239091,1.29726675993413,103.840370295802,RIVER VALLEY
"488 GEYLANG ROAD, SINGAPORE 389447",Hotel,No,,,Small,507.0,85.0,85,Y,389447,1.31324043070553,103.884683335205,GEYLANG
"6 IRRAWADDY ROAD, SINGAPORE 329543",Hotel,Yes,Platinum,2015.0,Small,6407.0,416.0,349,Y,329543,1.32614785629346,103.84554505161,NOVENA
"11 JALAN KLAPA, SINGAPORE 199323",Hotel,No,,,Small,739.0,394.0,371,Y,199323,1.30420912504263,103.859686405062,ROCHOR
"2 JALAN PINANG, SINGAPORE 199150",Hotel,No,,,Small,314.0,102.0,103,Y,199150,1.30279422168817,103.858531866279,ROCHOR
"50 TELOK BLANGAH ROAD, SINGAPORE 098828",Hotel,No,,,Small,6801.0,397.0,422,Y,098828,1.26617554108454,103.823800983091,BUKIT MERAH
"173 BENCOOLEN STREET, SINGAPORE 189642",Hotel,No,,,Small,2631.0,263.0,258,Y,189642,1.30165938515079,103.852237504944,ROCHOR
"22 TECK LIM ROAD, SINGAPORE 088392",Hotel,No,,,Small,1115.0,260.0,260,Y,088392,1.28063134251485,103.841824502335,OUTRAM
"36 LORONG 22 GEYLANG, SINGAPORE 398693",Hotel,No,,,Small,1430.0,284.0,270,Y,398693,1.31100593397879,103.881865740373,GEYLANG
"190 WATERLOO STREET, SINGAPORE 187965",Hotel,No,,,Small,1755.0,247.0,235,Y,187965,1.30107926516859,103.853143978565,ROCHOR
"88 SYED ALWI ROAD, SINGAPORE 207667",Hotel,No,,,Small,1088.0,475.0,471,Y,207667,1.30922923407885,103.855673422661,ROCHOR
"23 DICKSON ROAD, SINGAPORE 209507",Hotel,No,,,Small,1697.0,280.0,307,Y,209507,1.30508880080882,103.854059857333,ROCHOR
"51 DESKER ROAD, SINGAPORE 209645",Hotel,No,,,Small,1796.0,126.0,147,Y,209645,1.30914207332134,103.855250937485,ROCHOR
"320 BALESTIER ROAD, SINGAPORE 329924",Hotel,No,,,Small,1548.0,109.0,97,Y,329924,1.32376736470268,103.852187493132,NOVENA
"246 BALESTIER ROAD, SINGAPORE 329706",Hotel,No,,,Small,993.0,181.0,180,Y,329706,1.32176388648482,103.853144242099,NOVENA
"443 GEYLANG ROAD, SINGAPORE 389403",Hotel,No,,,Small,1414.0,158.0,149,Y,389403,1.31323581650132,103.881747204573,GEYLANG
"32 LORONG 8 GEYLANG, SINGAPORE 399096",Hotel,No,,,Small,1944.0,188.0,202,Y,399096,1.31090127994677,103.876969910602,GEYLANG
"2 OWEN ROAD, SINGAPORE 218842",Hotel,No,,,Small,4458.0,252.0,218,Y,218842,1.31170733332103,103.854953206249,ROCHOR
"218 QUEEN STREET, SINGAPORE 188549",Hotel,No,,,Small,4914.0,254.0,261,Y,188549,1.29801057475968,103.851820103143,ROCHOR
"31 LORONG 8 GEYLANG, SINGAPORE 399095",Hotel,No,,,Small,1520.0,136.0,124,Y,399095,1.31083761848136,103.877402299063,GEYLANG
"175A CHIN SWEE ROAD, SINGAPORE 169879",Hotel,No,,,Small,6086.0,333.0,345,Y,169879,1.28575609430357,103.838921630122,OUTRAM
"15 KRAMAT ROAD, SINGAPORE 228750",Hotel,No,,,Small,3499.0,227.0,229,Y,228750,1.30133936015093,103.842424733207,ORCHARD
"25 TRENGGANU STREET, SINGAPORE 058476",Hotel,No,,,Small,2250.0,297.0,294,Y,058476,1.28256767941304,103.844175159658,OUTRAM
"16 MADRAS STREET, SINGAPORE 208413",Hotel,No,,,Small,519.0,259.0,281,Y,208413,1.30475110478166,103.852855134143,ROCHOR
"60 JOO CHIAT ROAD, SINGAPORE 427726",Hotel,No,,,Small,2185.0,356.0,309,Y,427726,1.31472881913583,103.898383226749,GEYLANG
"424 GEYLANG ROAD, SINGAPORE 389395",Hotel,No,,,Small,2044.0,255.0,263,Y,389395,1.31285054002252,103.882882550901,GEYLANG
"432 GEYLANG ROAD, SINGAPORE 389396",Hotel,No,,,Small,534.0,124.0,125,Y,389396,1.31301909756764,103.883130630089,GEYLANG
"112 SIMS AVENUE, SINGAPORE 387436",Hotel,No,,,Small,1094.0,350.0,312,Y,387436,1.31392298042945,103.87787218811,GEYLANG
"20 LORONG 17 GEYLANG, SINGAPORE 388575",Hotel,No,,,Small,2654.0,281.0,267,Y,388575,1.31351598623946,103.8788648412,GEYLANG
"8 LORONG 10 GEYLANG, SINGAPORE 399041",Hotel,No,,,Small,957.0,166.0,153,Y,399041,1.31157104218782,103.877466092732,GEYLANG
"18 JALAN MOLEK, SINGAPORE 399535",Hotel,No,,,Small,1000.0,126.0,121,Y,399535,1.31170840324042,103.882777768382,GEYLANG
"3 SENG POH ROAD, SINGAPORE 168891",Hotel,No,,,Small,2954.0,335.0,350,Y,168891,1.28556430191685,103.834075876607,BUKIT MERAH
"97 STILL ROAD, SINGAPORE 423988",Hotel,No,,,Small,690.0,329.0,326,Y,423988,1.31340396974368,103.906451543871,GEYLANG
"12 TECK LIM ROAD, SINGAPORE 088387",Hotel,No,,,Small,1040.0,163.0,181,Y,088387,1.28037792374451,103.841991807539,OUTRAM
"40 HAMILTON ROAD, SINGAPORE 209210",Hotel,No,,,Small,1003.0,117.0,115,Y,209210,1.31154151869742,103.861521226567,KALLANG
"2 TAN QUEE LAN STREET, SINGAPORE 188091",Hotel,No,,,Small,1000.0,137.0,167,Y,188091,1.29800362372159,103.856935739077,DOWNTOWN CORE
"16 CARPENTER STREET, SINGAPORE 059905",Hotel,No,,,Small,650.0,207.0,141,Y,059905,1.28834729276189,103.847855879822,SINGAPORE RIVER
"50 KEONG SAIK ROAD, SINGAPORE 089154",Hotel,No,,,Small,1278.0,265.0,278,Y,089154,1.28079216317408,103.841812323258,OUTRAM
"2 DICKSON ROAD, SINGAPORE 209494",Hotel,No,,,Small,867.0,730.0,742,Y,209494,1.30512093883828,103.854629628306,ROCHOR
"31 BUKIT PASOH ROAD, SINGAPORE 089845",Hotel,No,,,Small,2043.0,469.0,461,Y,089845,1.27932863390139,103.840379699423,OUTRAM
"10A UPPER WILKIE ROAD, SINGAPORE 228119",Hotel,No,,,Small,2652.0,206.0,209,Y,228119,0,0,NA
"50 CAMPBELL LANE, SINGAPORE 209922",Hotel,No,,,Small,506.0,63.0,104,Y,209922,1.30499471454512,103.852641539292,ROCHOR
"33 BIRCH ROAD, SINGAPORE 219894",Hotel,No,,,Small,1126.0,287.0,283,Y,219894,1.31119378997323,103.853597391564,ROCHOR
"400 EAST COAST ROAD, SINGAPORE 428996",Hotel,No,,,Small,1005.0,152.0,143,Y,428996,1.30872020865679,103.912043488378,BEDOK
"512 KAMPONG BAHRU ROAD, SINGAPORE 099448",Hotel,No,,,Small,975.0,545.0,551,Y,099448,1.2726140303265,103.827744705929,BUKIT MERAH
